CONSUMER_PREFIX 0110ce55ef52110e25dbe82c
trusting_consumer up: VOLATILE reader; DELTA_FRESH=165 ms
TRACE t=366239562795957 event=SAMPLE rx=104 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.28
TRACE t=366239596163362 event=SAMPLE rx=105 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.37
TRACE t=366239629446476 event=SAMPLE rx=106 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.28
TRACE t=366239662862368 event=SAMPLE rx=107 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.42
TRACE t=366239696169888 event=SAMPLE rx=108 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.31
TRACE t=366239729528812 event=SAMPLE rx=109 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.36
TRACE t=366239762857422 event=SAMPLE rx=110 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.33
TRACE t=366239796165965 event=SAMPLE rx=111 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.31
TRACE t=366239829518403 event=SAMPLE rx=112 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.35
TRACE t=366239862884378 event=SAMPLE rx=113 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.37
TRACE t=366239896174404 event=SAMPLE rx=114 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.29
TRACE t=366239929550952 event=SAMPLE rx=115 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.38
TRACE t=366239962864116 event=SAMPLE rx=116 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.31
TRACE t=366239996168785 event=SAMPLE rx=117 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.30
TRACE t=366240029541199 event=SAMPLE rx=118 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.000 dt_ms=33.37
TRACE t=366240062828097 event=SAMPLE rx=119 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.29
TRACE t=366240096161058 event=SAMPLE rx=120 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.33
TRACE t=366240129529792 event=SAMPLE rx=121 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.37
TRACE t=366240162850770 event=SAMPLE rx=122 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.32
TRACE t=366240196144404 event=SAMPLE rx=123 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.29
TRACE t=366240229509531 event=SAMPLE rx=124 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.37
TRACE t=366240262846284 event=SAMPLE rx=125 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.34
TRACE t=366240296140590 event=SAMPLE rx=126 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.29
TRACE t=366240329517043 event=SAMPLE rx=127 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.38
TRACE t=366240362835226 event=SAMPLE rx=128 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.32
TRACE t=366240396148619 event=SAMPLE rx=129 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.31
TRACE t=366240429538132 event=SAMPLE rx=130 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.39
TRACE t=366240462866800 event=SAMPLE rx=131 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.33
TRACE t=366240496167688 event=SAMPLE rx=132 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.30
TRACE t=366240529543047 event=SAMPLE rx=133 guid=0110e493:507dbdfa:2c764e80:00000203 lv=5.500 dt_ms=33.38
trusting_consumer: stopped; received 134 samples
